from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,r_balance_in_rub,balance_in_val,r_balance_in_val,balance_in_total,r_balance_in_total,turn_deb_rub,r_turn_deb_rub,turn_deb_val,r_turn_deb_val,turn_deb_total,r_turn_deb_total,turn_cre_rub,r_turn_cre_rub,turn_cre_val,r_turn_cre_val,turn_cre_total,r_turn_cre_total,balance_out_rub,r_balance_out_rub,balance_out_val,r_balance_out_val,balance_out_total,r_balance_out_total
2018-01-01,2018-01-31,А,30425,А,87620.47000000,87620.47000000,38318.13000000,38318.13000000,125938.60000000,125938.60000000,0E-8,0E-8,0E-8,0E-8,,,0E-8,0E-8,0E-8,0E-8,,,87620.47000000,87620.47000000,38318.13000000,38318.13000000,125938.60000000,125938.60000000
2018-01-01,2018-01-31,А,30126,П,67224.06000000,67224.06000000,0E-8,0E-8,67224.06000000,67224.06000000,,,0E-8,0E-8,,,,,0E-8,0E-8,,,67224.06000000,67224.06000000,0E-8,0E-8,67224.06000000,67224.06000000
2018-01-01,2018-01-31,А,30110,А,7781670.41000000,7781670.41000000,248922.80000000,248922.80000000,8030593.21000000,8030593.21000000,373332.34000000,373332.34000000,0E-8,0E-8,373332.34000000,373332.34000000,1083668.65000000,1083668.65000000,0E-8,0E-8,1083668.65000000,1083668.65000000,2425247.99000000,2425247.99000000,248922.80000000,248922.80000000,2674170.79000000,2674170.79000000
2018-01-01,2018-01-31,А,30202,А,129554.00000000,129554.00000000,0E-8,0E-8,129554.00000000,129554.00000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,93819.58000000,93819.58000000,0E-8,0E-8,93819.58000000,93819.58000000,35734.42000000,35734.42000000,0E-8,0E-8,35734.42000000,35734.42000000
2018-01-01,2018-01-31,А,30413,А,2916835.42000000,2916835.42000000,0E-8,0E-8,2916835.42000000,2916835.42000000,2098780.35000000,2098780.35000000,0E-8,0E-8,2098780.35000000,2098780.35000000,2382487.14000000,2382487.14000000,0E-8,0E-8,2382487.14000000,2382487.14000000,-1906180.01000000,-1906180.01000000,0E-8,0E-8,-1906180.01000000,-1906180.01000000
2018-01-01,2018-01-31,А,30222,П,215769.47000000,215769.47000000,654691.48000000,654691.48000000,870460.95000000,870460.95000000,0E-8,0E-8,5595511.51749600,5595511.52000000,5595511.51749600,5595511.52000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,215769.47000000,215769.47000000,-4940820.03749600,-4940820.04000000,-4725050.56749600,-4725050.57000000
2018-01-01,2018-01-31,А,30233,А,58966.57000000,58966.57000000,84241.58000000,84241.58000000,143208.15000000,143208.15000000,0E-8,0E-8,0E-8,0E-8,,,0E-8,0E-8,0E-8,0E-8,,,58966.57000000,58966.57000000,84241.58000000,84241.58000000,143208.15000000,143208.15000000
2018-01-01,2018-01-31,А,30236,П,39070.65000000,39070.65000000,973779.12000000,973779.12000000,1012849.77000000,1012849.77000000,0E-8,0E-8,134845152.11511300,134845152.12000000,134845152.11511300,134845152.12000000,0E-8,0E-8,249074167.07623700,249074167.08000000,249074167.07623700,249074167.08000000,39070.65000000,39070.65000000,1708992469.76809400,1708992469.77000000,1709031540.41809400,1709031540.42000000
2018-01-01,2018-01-31,А,30204,А,5541.83000000,5541.83000000,0E-8,0E-8,5541.83000000,5541.83000000,149647.04000000,149647.04000000,0E-8,0E-8,149647.04000000,149647.04000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,155188.87000000,155188.87000000,0E-8,0E-8,155188.87000000,155188.87000000
2018-01-01,2018-01-31,А,30223,П,814660.67000000,814660.67000000,0E-8,0E-8,814660.67000000,814660.67000000,6349676.77000000,6349676.77000000,0E-8,0E-8,6349676.77000000,6349676.77000000,15781776.55000000,15781776.55000000,0E-8,0E-8,15781776.55000000,15781776.55000000,161160356.93000000,161160356.93000000,0E-8,0E-8,161160356.93000000,161160356.93000000
